time,x,y,button,pressed,abnormal
1734362968.9961095,301,503,Button.left,True,False
1734362969.0603704,301,503,Button.left,False,False
1734362969.723819,1770,436,Button.left,True,False
1734362969.8093557,1768,436,Button.left,False,False
1734362970.1317487,1708,438,Button.left,True,False
1734362970.1838646,1708,438,Button.left,False,False
1734362970.9035285,736,0,Button.left,True,False
1734362970.9554281,736,0,Button.left,False,False
1734362972.093485,617,722,Button.left,True,False
1734362972.1877418,617,722,Button.left,False,False
1734362975.073708,545,646,Button.left,True,False
1734362975.1635652,545,646,Button.left,False,False
1734362976.1075945,748,508,Button.left,True,False
1734362976.1882765,748,508,Button.left,False,False
1734362981.4204144,98,681,Button.left,True,False
1734362981.4925702,98,681,Button.left,False,False
1734362982.3406212,376,574,Button.left,True,False
1734362982.4524941,376,574,Button.left,False,False
1734362988.6300824,29,67,Button.left,True,False
1734362988.680102,29,67,Button.left,False,False
1734362989.0535913,171,2,Button.left,True,False
1734362989.1317503,171,1,Button.left,False,False
1734362994.5524526,1829,188,Button.left,True,False
1734362994.6202888,1829,188,Button.left,False,False
1734362995.3029325,1736,390,Button.left,True,False
1734362995.3882327,1736,390,Button.left,False,False
1734362996.532706,1609,594,Button.left,True,False
